,game_result,black_score,white_score,agent_black,agent_white
0,Black Wins,37,0,agent_1,agent_2
1,White Wins,26,38,agent_2,agent_1
2,White Wins,14,50,agent_1,agent_3
3,White Wins,22,42,agent_3,agent_1
4,White Wins,21,43,agent_1,agent_4
5,White Wins,25,39,agent_4,agent_1
6,Black Wins,35,29,agent_1,agent_5
7,Black Wins,38,26,agent_5,agent_1
8,Black Wins,37,0,agent_1,agent_6
9,Black Wins,51,13,agent_6,agent_1
10,White Wins,29,35,agent_1,agent_7
11,Black Wins,53,11,agent_7,agent_1
12,Draw,32,32,agent_1,agent_8
13,Black Wins,55,9,agent_8,agent_1
14,White Wins,28,36,agent_2,agent_3
15,White Wins,8,56,agent_3,agent_2
16,White Wins,24,40,agent_2,agent_4
17,Black Wins,37,0,agent_4,agent_2
18,Black Wins,48,16,agent_2,agent_5
19,White Wins,16,48,agent_5,agent_2
20,Black Wins,49,15,agent_2,agent_6
21,Black Wins,45,19,agent_6,agent_2
22,Black Wins,48,16,agent_2,agent_7
23,White Wins,25,39,agent_7,agent_2
24,White Wins,29,35,agent_2,agent_8
25,Black Wins,49,15,agent_8,agent_2
26,White Wins,20,44,agent_3,agent_4
27,White Wins,14,50,agent_4,agent_3
28,White Wins,0,34,agent_3,agent_5
29,Black Wins,37,27,agent_5,agent_3
30,White Wins,8,56,agent_3,agent_6
31,White Wins,25,39,agent_6,agent_3
32,White Wins,18,46,agent_3,agent_7
33,Black Wins,57,7,agent_7,agent_3
34,White Wins,11,53,agent_3,agent_8
35,Black Wins,37,0,agent_8,agent_3
36,White Wins,16,48,agent_4,agent_5
37,Black Wins,33,31,agent_5,agent_4
38,Black Wins,37,0,agent_4,agent_6
39,Black Wins,38,26,agent_6,agent_4
40,White Wins,18,46,agent_4,agent_7
41,Black Wins,54,10,agent_7,agent_4
42,Black Wins,36,28,agent_4,agent_8
43,White Wins,28,36,agent_8,agent_4
44,White Wins,26,38,agent_5,agent_6
45,Black Wins,46,18,agent_6,agent_5
46,Black Wins,47,17,agent_5,agent_7
47,White Wins,18,46,agent_7,agent_5
48,White Wins,29,35,agent_5,agent_8
49,Black Wins,41,23,agent_8,agent_5
50,Black Wins,46,18,agent_6,agent_7
51,Black Wins,40,24,agent_7,agent_6
52,Black Wins,38,26,agent_6,agent_8
53,Black Wins,34,30,agent_8,agent_6
54,Black Wins,37,27,agent_7,agent_8
55,Black Wins,41,23,agent_8,agent_7
